Longitude,Latitude,Altitude,d0101,d0102,d0103,d0104,d0105,d0106,d0107,d0108,d0109,d0110,d0111,d0112,d0113,d0114,d0115,d0116,d0117,d0118,d0119,d0120,d0121,d0122,d0123,d0124,d0125,d0126,d0127,d0128,d0129,d0130,d0131,d0201,d0202,d0203,d0204,d0205,d0206,d0207,d0208,d0209,d0210,d0211,d0212,d0213,d0214,d0215,d0216,d0217,d0218,d0219,d0220,d0221,d0222,d0223,d0224,d0225,d0226,d0227,d0228,d0301,d0302,d0303,d0304,d0305,d0306,d0307,d0308,d0309,d0310,d0311,d0312,d0313,d0314,d0315,d0316,d0317,d0318,d0319,d0320,d0321,d0322,d0323,d0324,d0325,d0326,d0327,d0328,d0329,d0330,d0331,d0401,d0402,d0403,d0404,d0405,d0406,d0407,d0408,d0409,d0410,d0411,d0412,d0413,d0414,d0415,d0416,d0417,d0418,d0419,d0420,d0421,d0422,d0423,d0424,d0425,d0426,d0427,d0428,d0429,d0430,d0501,d0502,d0503,d0504,d0505,d0506,d0507,d0508,d0509,d0510,d0511,d0512,d0513,d0514,d0515,d0516,d0517,d0518,d0519,d0520,d0521,d0522,d0523,d0524,d0525,d0526,d0527,d0528,d0529,d0530,d0531,d0601,d0602,d0603,d0604,d0605,d0606,d0607,d0608,d0609,d0610,d0611,d0612,d0613,d0614,d0615,d0616,d0617,d0618,d0619,d0620,d0621,d0622,d0623,d0624,d0625,d0626,d0627,d0628,d0629,d0630,d0701,d0702,d0703,d0704,d0705,d0706,d0707,d0708,d0709,d0710,d0711,d0712,d0713,d0714,d0715,d0716,d0717,d0718,d0719,d0720,d0721,d0722,d0723,d0724,d0725,d0726,d0727,d0728,d0729,d0730,d0731,d0801,d0802,d0803,d0804,d0805,d0806,d0807,d0808,d0809,d0810,d0811,d0812,d0813,d0814,d0815,d0816,d0817,d0818,d0819,d0820,d0821,d0822,d0823,d0824,d0825,d0826,d0827,d0828,d0829,d0830,d0831,d0901,d0902,d0903,d0904,d0905,d0906,d0907,d0908,d0909,d0910,d0911,d0912,d0913,d0914,d0915,d0916,d0917,d0918,d0919,d0920,d0921,d0922,d0923,d0924,d0925,d0926,d0927,d0928,d0929,d0930,d1001,d1002,d1003,d1004,d1005,d1006,d1007,d1008,d1009,d1010,d1011,d1012,d1013,d1014,d1015,d1016,d1017,d1018,d1019,d1020,d1021,d1022,d1023,d1024,d1025,d1026,d1027,d1028,d1029,d1030,d1031,d1101,d1102,d1103,d1104,d1105,d1106,d1107,d1108,d1109,d1110,d1111,d1112,d1113,d1114,d1115,d1116,d1117,d1118,d1119,d1120,d1121,d1122,d1123,d1124,d1125,d1126,d1127,d1128,d1129,d1130,d1201,d1202,d1203,d1204,d1205,d1206,d1207,d1208,d1209,d1210,d1211,d1212,d1213,d1214,d1215,d1216,d1217,d1218,d1219,d1220,d1221,d1222,d1223,d1224,d1225,d1226,d1227,d1228,d1229,d1230,d1231,Media
-50.8744,-22.8511,365,0,0,0,0,0,0,2.5,0,0,3.7,15.5,0,0,0,0,0,36.7,0,24.3,45.1,13.8,20.9,0,4.8,0,0,0,4.6,5.6,35.2,0,0,0,0,8.5,0,0,0,0,0,11.2,5.7,1.6,25.2,6.4,15,0,3.6,0,0,0,17.3,0,0,13.1,0,0,0,22.1,0,0,2.6,0,0,4.9,0,0,0,0,7.9,4.4,0,0,0,0,0,0,0,0,0,5.2,5.1,0,0,0,0,0,6.5,0,0,0,0,15.5,19.5,0,0,0,0,0,0,0,0,25.2,13.3,0,0,0,0,0,0,0,0,0,0,0,16.2,0,16.1,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.7,0.9,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,6,0,16.3,0,0,0,0,0,0,0,0,9.3,0,15.6,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,4.4,0.5,0,0,0,0,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0.8,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,17.5,0,2.6,5.9,15.8,2.8,95.9,0,0,0,0,0,0,0,0,4.8,18,0,0,0,47.9,12.9,0,0,0,0,0,0,0,0,0.8,0,0,0,21.2,37.5,6.7,15.2,0,0,0,0,0,27.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,19.6,11,2.9,0,0,0,0,0,0,0,0,0,0,0,0,2.2,3.3,7.7,0,0,0,0,15.7,10,0.209059233449477
-50.7711,-22.9597,344,0,1,0,0,0,0,6,14,45.7,0,1,13.6,4.4,2.8,0,0,96.2,3.4,18.8,32.8,5.4,41.5,0,30,0,0,0,0,0,40.3,0,2.7,0,0,25.6,0,0,0,12.4,0,0,12.6,0,33.7,1,23.7,0,12.5,0,0,6.3,0,0,0,15,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,15.4,0,0,0,6.2,0,0,0,0,0.9,9.5,2.2,0.3,0,0,0,12.7,0,0,0,0,0,0.7,0,0,28.8,2.1,0,0,0,0,0,0,0,2.1,0,0,0,35.5,0,5.5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,1.9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,1.1,3.1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,9.1,0,0,28,0,0,0,0,0,0,0,0,10.5,0,15.6,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,7.3,1,0,0,0,0,0,0,0,0,0,34.2,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.9,0,0,2.2,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,20.9,0,1.4,2.8,44.8,52.4,41,0,0,0,0,0,0,0,0,8.7,19.6,0,0,0,26.6,0,0,0,0,0,0,1.3,0,17.6,0,0,0,0,18.3,23.6,12,4.1,0,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,1.5,7,4.2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2.7,14.6,0.753378378378378
-50.6497,-22.95,904,0,0,0,3.3,0,0,5.1,0,12.7,0,8.5,0,0,0,0,0,32.3,0,29.2,19.2,12.2,0,0,0,0,32.5,0,0,0,35.9,0,41.5,0,0,21.5,0,0,32.1,6.5,0,0,21.5,0,22.1,0,58.1,0,20.1,0,6.5,0,44.6,0,10.5,0,0,0,0,3.5,0,0,4.5,0,1.3,0,0,0,11.5,0,0,0,0,6.5,0,0,0,0,0,8.9,0,0,0,0,0,0,9.5,4.5,0,18.1,0,0,0,11.3,6.9,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,16.5,0,6.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,10.1,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,25.1,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,45.4,65.2,57,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,53.1,0,0,0,0,0,0,5.9,0,0,3.1,0,0,0,54.2,20.1,0,0,0,0,0,0,22.1,1.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224409448818898
-50.4789,-22.9722,402,0,0,0,0,0,0,0,4.1,2.8,0,0,0,12.2,0,0,0,64.2,6.8,38.4,12.2,6.4,24.4,0,6.2,9.6,2.6,0,0,0,23.3,0,4.2,0,21.3,0,0,1.7,34,7.4,3.8,7.5,10,0,33.7,24.8,77.8,0,22.8,1.8,3.8,0,0,0,0,0,23.7,11.4,0,0,0,0,4.2,3.4,0,0,0,0,0,0,0,53.4,0,0,0,0,0,0,0,0,1.8,0,17.3,0,1.8,0,0,0,1.8,13.6,0,1.6,0,0,12.7,0,0,0,0,0,0,0,0,28.3,0,0,0,0,0,0,0,0,0,0,0,19.6,0.4,0,0,0.2,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,11.8,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,16.9,0,0,0,0,0,0,0,0,8.4,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9.4,0,0,0,17,0,0,26.4,16.8,0,11,0,43,21.4,103.6,0.3,0,0,0,0,0,0,0,0,32.8,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,31.3,8,11.2,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,6,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,5.1,0.552188552188552
-50.2661,-22.9653,423,0,0,0,0,0,0,4.7,11.3,0,0,0,5,18.3,0,0,0,85,20.7,45.2,27.3,5.7,8.5,0,0,2.5,0,0.5,0,0,0,0,0,0,0,36.7,0,2.2,5.9,9.1,3.4,10.9,0,0,18,0,11.9,0,0,5.3,2.3,3.4,0,0,0,8.3,0,30,0,0,0,0,3.7,0,1.5,0,0,0,2.7,0,4.6,0.5,0,0,0,0,0,0,16.9,0,0,17.1,0,0,0,0,0,0,0,7.1,0,0,0,0,1.7,0,0,0,0,0,0,0,0,32.3,8.7,0,0,0,0,0,0,0,3.3,0,0,0,16.3,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,2,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,17.2,0,0,0,0,0,0,1.5,4.1,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,2.8,0,0,0,0,0,0,0,0,0,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,19.3,0,0,9,12.5,13.7,0,7.2,39.1,62,91.3,23,0,0,0,0,0,0,0,0,47.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,3.9,30.2,8.8,3.1,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,18.7,0,47,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08278145695364
-50,-22.9831,528,0,0,4,0,0,2.3,0,4.6,0,0,0,0,8,0,0,0,45.9,15.3,58.9,62.8,18.6,9.5,0,0,0,5.9,4.6,0,0,0,0,10.9,26.1,20.2,0,0,0,2,3.3,2,16,0,0,0,0,42.7,0,2.1,6,11,2,0,0,0,13.3,0,4.4,0,0,0,0,5.1,0,4.2,0,0,4.5,0,0,0,5.1,0,0,0,0,0,0,5.2,0,0,0,3.8,3.7,0,0,0,0,5,22.7,0,0,0,0,2,0,0,0,0,0,0,0,0,27.3,5.5,0,0,0,0,0,0,0,7,0,0,3.1,11.1,0,0,0,0,4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,16,0,0,0,0,0,0,0,0,5.2,1.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,2,0,0,0,0,0,0,0,0,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,52,45.6,7.1,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,27.7,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0.520833333333333
-51.3739,-22.7547,425,0,0,0,0,0,0,0,24.1,7.3,0,0,0,7.8,0,3.1,0,0,15,0,24.3,12.8,8.8,20.2,1.2,0,0,40.2,0,1,0,9.1,0.5,0,1.1,30.2,1,18,10.6,25.8,4.4,37.5,5.2,0,0,12,0,14.3,0,0,0.5,0,0,0,0,3,12.2,0,9.4,12.1,0,0.5,33,1.7,0,0,0,0,0,0,2,0,1.1,5.1,0,0,0,0,0,5,0,0,0,12.4,2.7,0,0,0,7.6,0,0,1,0,0,79.2,1.2,0,0,0,0,0,0,20.1,28.5,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,9.2,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,0,0,0,0,0,40.1,0,0,27.2,36.5,34.7,4,0,0,0,0,0,0,0,0,0,20,0,0,0,50.4,5.1,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,70,75.5,5.5,0,0,0,0,0,28.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,6,28.7,0,11.2,29,0,1.3,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11981566820277
-51.2,-22.95,600,0,4.8,0,0,0,0,0,0,3,0,6.2,0.2,21.2,7.2,0,0,59,6,17.2,44.6,8,14.6,5.8,2,0,0,0,0,0,7.4,1,1.2,1,0.2,4,0,0,5.4,1.6,6.4,4.4,7.2,1,11.4,1.2,30.2,5.6,5.2,0,0.4,0.2,0,0,0,2.2,0.2,5.2,0,0,0,0,3.8,7.8,2.8,0.2,4.8,2.2,0,0.6,0,4.4,0.2,0,0,0,0,0.4,2.2,0,0,0.2,13.6,0,0,0,0,0,44.4,0.6,1,0,0,1.2,20.8,1.6,0,0,0,0,0,0,0,58.8,1.6,0,0,0,0,0,0,0,5.6,0,0,0.2,21.8,0,0,0,0.2,9.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,19.6,47.4,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,3.4,5.4,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,14.8,0.8,0,39.4,0,0,0,0,0,0,0,1.6,13.4,0.4,12.4,0,0,0,0,0,0,1.6,2.4,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0.8,4.8,0,0,0,0,0,0,0,0,0,0,2,0,0,1.3,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,2.6,14,0,12.8,0.6,39.4,11.8,14.4,0.1,0,0,0,0,0,0,0,4.6,12,0,0,0,48,0,0,0,0,0,0,0,1.2,3,0,0,0,0,68.6,29.4,14.4,2.2,0,0,0,0,0,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0.8,0,57.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,2.8,23.6,0.621722846441948
-51.8881,-22.8981,487,0,0,0,0,8.4,0,0,0,0,0,0,0,7,0,0,0,0,3.3,36.6,15.6,2.4,28.5,0,0,0,0,21.7,2.6,0,0,0,0,10,1.5,0,0,0,12,4,10.5,36.1,9.1,13.7,4.7,5,0,1.5,0,0,0,0,0,0,25.7,27.6,0,78.5,9.1,8.3,0,0,0.7,18.7,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,5.1,38.1,0,19.6,0,0,0,36.7,11.9,0,0,0,0,0,0,0,79.8,15.2,0,0,0,0,0,0,0,14.2,0,0,0,22.1,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,3,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.9,8.1,4.4,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,0,0,23.1,0,0,0,0,0,0,0,0,18,1.4,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,18.7,0,33.5,10.7,0,4.1,3.7,0,0,0,0,0,0,0,2,20.3,0,0,0,22.8,33.1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,101.2,10.5,0,0,0,0,0,0,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,17.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,83,0.48
-51.711389,-22.787778,377,0,0,0,0,0,0,0,0,0,10.4,0,0,0,113.4,0,0,0,0,0,48.5,0,19.3,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,38.2,0,49.3,9.3,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,8.5,0,26.3,0,0,0,0,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,48.9,0,0,0,0,0,0,0,0,74.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,8.9,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,0,0,0,25.7,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,16.3,23.2,17.2,16.3,0,5.1,0,0,0,0,0,0,0,0,0,23.2,0,0,0,51.3,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,53,0,0,0,0,0,0,0,43.6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515151515151515
